,UNIVERSITY NAME,STATUS,TARGET MAJOR,TERM,GRE(Q),GRE(V),GRE(AWA),GRE(TOTAL),TOEFL IELTS,UG COLLEGE,UG MAJOR,CGPA,PAPERS,WORK EXPERIENCE
392,Carnegie Mellon University,Reject,Electrical & Computer Engineering,Fall 2017,170,157,3,327,N/A,IIT Kanpur,EEE,7.9,N/A,0 Mo
393,Cornell University,Reject,Mechanical Engineering,Fall 2018,160,153,3,313,107,IIT Kanpur,Mechanical Engineering,9.22,N/A,0 Mo
394,University of Toronto,Reject,Computer Science,Fall 2020,170,162,4.5,332,111,IIT Kanpur,Mathematics,8.1,N/A,29 Mo
395,"University of California, San Diego",Admit,Electrical & Computer Engineering,Fall 2019,168,157,4.5,325,104,IIT Kanpur,ECE,9.3,N/A,0 Mo
396,Georgia Institute of Technology,Reject,Electrical & Computer Engineering,Fall 2017,170,154,3.5,324,110,IIT Kanpur,EEE,8,N/A,0 Mo
397,Stanford University,Reject,Electrical Engineering,Fall 2018,170,163,N/A,333,111,IIT Kanpur,EEE,9.52,N/A,19 Mo
398,"University of California, San Diego",Reject,Computer Science,Fall 2018,170,155,3,325,106,IIT Kanpur,EEE,7.8,N/A,17 Mo
399,"University of California, Irvine",Reject,Computer Science,Fall 2018,170,155,3,325,106,IIT Kanpur,EEE,7.8,N/A,17 Mo
400,Rice University,Admit,Chemical and Petroleum Engineering,Fall 2019,170,152,4,322,110,IIT Kanpur,Chemical Engineering,8.9,N/A,0 Mo
401,North Carolina State University,Admit,Computer Science,Fall 2020,169,155,4,324,109,IIT Kharagpur,ECE,8.26,N/A,18 Mo
402,Columbia University,Admit,Computer Science,Fall 2020,170,154,4.5,324,112,IIT Kharagpur,EEE,9.1,2,0 Mo
403,"University of Illinois, Urbana Champaign",Reject,Computer Science,Fall 2020,170,146,3,316,100,IIT Kharagpur,ECE,8.21,0,29 Mo
404,Arizona State University,Admit,Computer Science,Fall 2020,165,150,4,315,109,IIT Kharagpur,Mining Engineering,7.5,N/A,20 Mo
405,"University of California, Irvine",Admit,Computer Science,Fall 2020,169,153,3,322,98,IIT Kharagpur,EEE,9.04,N/A,18 Mo
406,Georgia State University,Admit,Data Science,Fall 2020,170,149,3,319,100,IIT Kharagpur,Civil Engineering,6.85,N/A,66 Mo
407,Georgia Institute of Technology,Admit,Civil Engineering,Fall 2016,161,159,3.5,320,N/A,IIT Kharagpur,Civil Engineering,8.97,N/A,0 Mo
408,Carnegie Mellon University,Admit,Computer Science,Fall 2019,170,160,5.5,330,115,IIT Kharagpur,Computer Science,9.6,N/A,0 Mo
409,"University of Colorado, Boulder",Admit,Mechanical Engineering,Fall 2020,168,158,3.5,326,110,IIT Kharagpur,Aeronautical Engineering,8.35,N/A,0 Mo
410,"University of California, Berkeley",Reject,Information Management and Systems,Fall 2019,167,152,3,319,104,IIT Kharagpur,Mechanical Engineering,7.83,N/A,30 Mo
411,"University of California, Irvine",Reject,Computer Science,Fall 2018,169,157,3.5,326,N/A,IIT Kharagpur,Instrumentation Engineering,7.53,0,31 Mo
412,"University of Florida, Gainesville",Reject,Computer Science,Fall 2018,166,146,3,312,90,IIT Kharagpur,Computer Science,73.9,N/A,0 Mo
413,"Texas A&M University, College Station",Admit,Industrial Engineering,Fall 2018,168,166,4,334,116,IIT Kharagpur,Industrial Engineering,7.85,N/A,41 Mo
414,University of Southern California,Reject,Computer Science,Fall 2019,170,154,4,324,112,IIT Kharagpur,Computer Science,8.27,N/A,54 Mo
415,"University of Massachusetts, Amherst",Admit,Computer Science,Fall 2019,170,159,4.5,329,111,IIT Kharagpur,EEE,8.43,N/A,17 Mo
416,"Indiana University, Bloomington",Admit,Computer Science,Fall 2020,168,153,4,321,102,IIT Kharagpur,Aeronautical Engineering,7.71,N/A,42 Mo
417,Vanderbilt University,Reject,Mechanical Engineering,Fall 2019,170,149,4,319,107,IIT Kharagpur,Metallurgical Engineering,7,N/A,0 Mo
418,Carnegie Mellon University,Reject,Robotics,Fall 2018,157,170,4,327,117,IIT Kharagpur,Mechanical Engineering,8.44,0,19 Mo
419,"Purdue University, West Lafayette",Admit,Business Analytics and Information Syste,Fall 2019,168,152,3.5,320,103,IIT Kharagpur,Chemistry,7.25,N/A,0 Mo
420,"University of Texas, Austin",Admit,Information Technology Management,Fall 2019,170,157,4,327,116,IIT Kharagpur,Mechanical Engineering,7,N/A,0 Mo
421,Cornell University,Reject,Computer Science,Fall 2019,167,152,3,319,104,IIT Kharagpur,Mechanical Engineering,7.83,N/A,30 Mo
422,"University of Michigan, Ann Arbor",Reject,Mechanical Engineering,Fall 2020,170,147,3.5,317,103,IIT Kharagpur,Mechanical Engineering,7.3,N/A,0 Mo
423,North Carolina State University,Admit,Mechanical Engineering,Fall 2019,168,158,4.5,326,N/A,IIT Kharagpur,Mechanical Engineering,8.36,N/A,0 Mo
424,Columbia University,Reject,Computer Science,Fall 2018,169,155,4,324,100,IIT Kharagpur,Industrial Engineering,8.48,N/A,0 Mo
425,"University of Illinois, Urbana Champaign",Reject,Computer Science,Fall 2018,169,155,4,324,100,IIT Kharagpur,Industrial Engineering,8.48,N/A,0 Mo
426,"Purdue University, West Lafayette",Reject,Computer Science,Fall 2019,167,152,3,319,104,IIT Kharagpur,Mechanical Engineering,7.83,N/A,30 Mo
427,"University of Texas, Austin",Reject,Electrical & Computer Engineering,Fall 2018,170,157,N/A,327,112,IIT Kharagpur,EEE,8.44,N/A,0 Mo
428,Pennsylvania State University,Admit,Computer Science,Fall 2020,170,146,3,316,100,IIT Kharagpur,ECE,8.21,0,29 Mo
429,Carnegie Mellon University,Admit,Mechanical Engineering,Fall 2020,160,148,4,308,107,IIT Kharagpur,Mechanical Engineering,8.46,N/A,0 Mo
430,McGill University,Reject,Chemical Engineering,Fall 2020,169,155,4.5,324,117,IIT Kharagpur,Chemical Engineering,9.16,0,3 Mo
431,"University of Texas, Dallas",Admit,Computer Science,Fall 2017,168,151,4,319,98,IIT Kharagpur,Mechanical Engineering,6.71,N/A,0 Mo
432,New York University,Admit,Computer Science,Fall 2018,167,150,3,317,99,IIT Kharagpur,Computer Science,8.24,N/A,0 Mo
433,"University of Massachusetts, Amherst",Reject,Computer Science,Fall 2018,166,146,3,312,90,IIT Kharagpur,Computer Science,73.9,N/A,0 Mo
434,University of Virginia,Reject,Computer Science,Fall 2019,167,152,3,319,104,IIT Kharagpur,Mechanical Engineering,7.83,N/A,30 Mo
435,"University of California, Santa Barbara",Admit,Computer Science,Fall 2019,169,155,3,324,101,IIT Kharagpur,Computer Science,8.44,N/A,0 Mo
436,Virginia Tech University,Admit,Computer Science,Fall 2019,169,152,4,321,118,IIT Kharagpur,ECE,8.86,1,0 Mo
437,University of Southern California,Admit,Electrical Engineering,Fall 2019,169,159,4.5,328,117,IIT Kharagpur,ECE,9.82,N/A,2 Mo
438,"University of Wisconsin, Madison",Admit,Computer Science,Fall 2017,170,152,3.5,322,107,IIT Kharagpur,ECE,8.8,N/A,0 Mo
439,"University of Minnesota, Twin Cities",Reject,Computer Science,Fall 2017,170,152,3.5,322,107,IIT Kharagpur,ECE,8.8,N/A,0 Mo
440,University of South Dakota,Admit,Computer Science,Fall 2020,165,150,4,315,109,IIT Kharagpur,Mining Engineering,7.5,N/A,20 Mo
441,North Carolina State University,Reject,Computer Science,Fall 2018,169,157,3.5,326,N/A,IIT Kharagpur,Instrumentation Engineering,7.53,0,31 Mo
442,Duke University,Admit,Engineering Management,Fall 2018,169,159,4.5,328,110,IIT Kharagpur,Industrial Engineering,8.94,N/A,0 Mo
443,New York University,Admit,Computer Science,Fall 2019,170,159,4.5,329,111,IIT Kharagpur,EEE,8.43,N/A,17 Mo
444,"Purdue University, West Lafayette",Reject,Mechanical Engineering,Fall 2020,170,147,3.5,317,103,IIT Kharagpur,Mechanical Engineering,7.3,N/A,0 Mo
445,University of Pennsylvania,Admit,Data Science,Fall 2019,170,155,3.5,325,101,IIT Kharagpur,ECE,9.02,0,0 Mo
446,"University of Texas, Dallas",Admit,Computer Science,Fall 2018,167,150,3,317,99,IIT Kharagpur,Computer Science,8.24,N/A,0 Mo
447,"Rutgers University, New Brunswick",Reject,Computer Science,Fall 2018,169,157,3.5,326,N/A,IIT Kharagpur,Instrumentation Engineering,7.53,0,31 Mo
448,"Purdue University, West Lafayette",Reject,Industrial Engineering,Fall 2019,169,155,4,324,106,IIT Kharagpur,Mechanical Engineering,7.46,N/A,0 Mo
449,"University of California, San Diego",Reject,Computer Science,Fall 2020,167,155,3.5,322,110,IIT Kharagpur,Computer Science,8.8,0,0 Mo
450,Ohio State University,Admit,Computer Science,Fall 2020,169,152,4.5,321,N/A,IIT Kharagpur,ECE,9.6,N/A,0 Mo
451,Arizona State University,Admit,Electrical Engineering,Fall 2018,165,159,4,324,117,IIT Kharagpur,ECE,9.15,N/A,0 Mo
452,University of Southern California,Reject,Mechanical Engineering,Fall 2020,170,147,3.5,317,103,IIT Kharagpur,Mechanical Engineering,7.3,N/A,0 Mo
453,Columbia University,Reject,Data Science,Fall 2019,170,158,3,328,106,IIT Kharagpur,Industrial Engineering,8.17,N/A,30 Mo
454,Oregon State University,Reject,Robotics,Fall 2019,165,154,3.5,319,105,IIT Kharagpur,Aeronautical Engineering,7.24,N/A,0 Mo
455,University of Washington,Reject,Data Science,Fall 2019,169,152,4,321,118,IIT Kharagpur,ECE,8.86,1,0 Mo
456,University of Washington,Admit,Mechanical Engineering,Fall 2019,170,149,4,319,107,IIT Kharagpur,Metallurgical Engineering,7,N/A,0 Mo
457,Columbia University,Reject,Data Science,Fall 2019,168,154,3.5,322,108,IIT Kharagpur,Mechanical Engineering,8.08,N/A,18 Mo
458,"University of Wisconsin, Madison",Reject,Computer Science,Fall 2019,169,155,3,324,101,IIT Kharagpur,Computer Science,8.44,N/A,0 Mo
459,Carnegie Mellon University,Admit,Electrical & Computer Engineering,Fall 2018,167,160,4.5,327,114,IIT Kharagpur,Instrumentation Engineering,8.5,N/A,0 Mo
460,"Texas A&M University, College Station",Admit,Mechanical Engineering,Fall 2019,169,150,4,319,104,IIT Kharagpur,Aeronautical Engineering,8.87,N/A,0 Mo
461,Carnegie Mellon University,Reject,Computer Science,Fall 2019,170,154,4,324,112,IIT Kharagpur,Computer Science,8.27,N/A,54 Mo
462,Georgia Institute of Technology,Reject,Computer Science,Fall 2020,170,146,3,316,100,IIT Kharagpur,ECE,8.21,0,29 Mo
463,"Rutgers University, New Brunswick",Reject,Computer Science,Fall 2020,169,152,N/A,321,N/A,IIT Kharagpur,EEE,8.16,N/A,18 Mo
464,Oregon State University,Reject,Robotics,Fall 2019,170,157,4,327,109,IIT Kharagpur,Mechanical Engineering,9.4,N/A,0 Mo
465,Rice University,Admit,Electrical Engineering,Fall 2016,166,161,4,327,109,IIT Kharagpur,ECE,8,N/A,0 Mo
466,"University of Massachusetts, Amherst",Reject,Computer Science,Fall 2020,169,152,N/A,321,N/A,IIT Kharagpur,EEE,8.16,N/A,18 Mo
467,"University of Illinois, Urbana Champaign",Reject,Industrial Engineering,Fall 2018,168,166,4,334,116,IIT Kharagpur,Industrial Engineering,7.85,N/A,41 Mo
468,"University of Minnesota, Twin Cities",Reject,Data Science,Fall 2019,170,155,4,325,110,IIT Kharagpur,Computer Science,7.56,0,15 Mo
469,Massachusetts Institute of Technology,Reject,Industrial Engineering,Fall 2018,168,166,4,334,116,IIT Kharagpur,Industrial Engineering,7.85,N/A,41 Mo
470,"University of Texas, Austin",Reject,Business Analytics,Fall 2019,168,152,3.5,320,103,IIT Kharagpur,Chemistry,7.25,N/A,0 Mo
471,"University of California, Berkeley",Reject,Computer Science,Fall 2019,170,160,5.5,330,115,IIT Kharagpur,Computer Science,9.6,N/A,0 Mo
472,University of Southern California,Reject,Computer Science,Fall 2019,169,156,4,325,105,IIT Kharagpur,Agriculture,7.58,0,10 Mo
473,"University of California, San Diego",Admit,Data Science,Fall 2019,169,152,4,321,118,IIT Kharagpur,ECE,8.86,1,0 Mo
474,Columbia University,Reject,Data Science,Fall 2019,170,154,4,324,112,IIT Kharagpur,Mathematics,7.38,0,18 Mo
475,Worcester Polytechnic Institute,Admit,Robotics,Fall 2019,170,157,4,327,109,IIT Kharagpur,Mechanical Engineering,9.4,N/A,0 Mo
476,"University of Massachusetts, Amherst",Admit,Computer Science,Fall 2019,169,152,4,321,118,IIT Kharagpur,ECE,8.86,1,0 Mo
477,University of Toronto,Admit,Applied Computing,Fall 2018,170,157,3.5,327,109,IIT Kharagpur,Biotechnology,9.29,N/A,0 Mo
478,Carnegie Mellon University,Reject,Data Science,Fall 2019,169,155,3,324,101,IIT Kharagpur,Computer Science,8.44,N/A,0 Mo
479,"University of California, Irvine",Admit,Computer Science,Fall 2019,170,155,4,325,110,IIT Kharagpur,Computer Science,7.56,0,15 Mo
480,"University of California, San Diego",Admit,Electrical & Computer Engineering,Fall 2019,168,160,4.5,328,112,IIT Kharagpur,ECE,9.13,N/A,1 Mo
481,Columbia University,Reject,Industrial Engineering,Fall 2018,168,166,4,334,116,IIT Kharagpur,Industrial Engineering,7.85,N/A,41 Mo
482,"University of Texas, Austin",Reject,Mechanical Engineering,Fall 2020,170,147,3.5,317,103,IIT Kharagpur,Mechanical Engineering,7.3,N/A,0 Mo
483,"University of Illinois, Urbana Champaign",Admit,Information Management,Fall 2019,170,146,0,316,105,IIT Kharagpur,ECE,7.7,N/A,30 Mo
484,Carnegie Mellon University,Reject,Computer Science,Fall 2020,169,155,4,324,109,IIT Kharagpur,ECE,8.26,N/A,18 Mo
485,"University of Texas, Dallas",Admit,Computer Science,Fall 2018,169,155,3,324,109,IIT Kharagpur,Civil Engineering,7.84,N/A,53 Mo
486,"University of Texas, Austin",Reject,Computer Science,Fall 2019,170,154,4,324,112,IIT Kharagpur,Computer Science,8.27,N/A,54 Mo
487,"University of Minnesota, Twin Cities",Admit,Electrical & Computer Engineering,Fall 2017,165,156,4,321,112,IIT Kharagpur,EEE,8.13,N/A,0 Mo
488,"University of Massachusetts, Amherst",Reject,Computer Science,Fall 2018,170,146,N/A,316,98,IIT Kharagpur,Computer Science,7.01,N/A,30 Mo
489,ETH Zurich,Reject,Computer Science,Fall 2020,167,155,3.5,322,110,IIT Kharagpur,Computer Science,8.8,0,0 Mo
490,Ohio State University,Reject,Computer Science,Fall 2020,168,153,4,321,102,IIT Kharagpur,Aeronautical Engineering,7.71,N/A,42 Mo
491,"University of Illinois, Urbana Champaign",Reject,Computer Science,Fall 2020,169,155,4,324,109,IIT Kharagpur,ECE,8.26,N/A,18 Mo
492,"University of California, Davis",Reject,Computer Science,Fall 2019,167,152,3,319,104,IIT Kharagpur,Mechanical Engineering,7.83,N/A,30 Mo
493,Pennsylvania State University,Admit,Chemical Engineering,Fall 2017,164,150,4.5,314,105,IIT Kharagpur,Chemical Engineering,8.81,N/A,0 Mo
494,Georgia Institute of Technology,Reject,Mechanical Engineering,Fall 2020,168,158,3.5,326,110,IIT Kharagpur,Aeronautical Engineering,8.35,N/A,0 Mo
495,North Carolina State University,Admit,Industrial Engineering,Fall 2018,168,166,4,334,116,IIT Kharagpur,Industrial Engineering,7.85,N/A,41 Mo
496,"University of Minnesota, Twin Cities",Admit,Business Analytics,Fall 2019,168,152,3.5,320,103,IIT Kharagpur,Chemistry,7.25,N/A,0 Mo
497,"University of Illinois, Urbana Champaign",Reject,Aerospace Engineering,Fall 2019,169,150,4,319,104,IIT Kharagpur,Aeronautical Engineering,8.87,N/A,0 Mo
498,"Purdue University, West Lafayette",Admit,Mechanical Engineering,Fall 2019,169,145,N/A,314,96,IIT Kharagpur,Mechanical Engineering,9.53,N/A,0 Mo
499,Columbia University,Admit,Management Science and Engineering,Fall 2018,169,159,4.5,328,110,IIT Kharagpur,Industrial Engineering,8.94,N/A,0 Mo
500,University of Southern California,Reject,Engineering Management,Fall 2020,N/A,N/A,N/A,N/A,105,IIT Kharagpur,Biotechnology,6.99,0,22 Mo
501,"University of Texas, Austin",Admit,Business Analytics,Fall 2019,169,162,4,331,106,IIT Roorkee,Chemical Engineering,8.57,N/A,16 Mo
502,"Purdue University, West Lafayette",Reject,Business Analytics and Information Syste,Fall 2019,164,155,4,319,110,IIT Roorkee,Biotechnology,7.48,N/A,30 Mo
503,"University of Illinois, Chicago",Reject,Computer Science,Fall 2018,165,160,4.5,325,114,IIT Roorkee,Computer Science,6.65,2,30 Mo
504,Delft University of Technology,Admit,Mechanical Engineering,Fall 2020,170,166,4.5,336,117,IIT Roorkee,Mechanical Engineering,8.86,0,6 Mo
505,New York University,Admit,Computer Science,Fall 2020,168,160,4.5,328,100,IIT Roorkee,EEE,7.61,1,31 Mo
506,"Texas A&M University, College Station",Admit,Mechanical Engineering,Fall 2019,167,156,3,323,104,IIT Roorkee,Mechanical Engineering,9.18,N/A,30 Mo
507,"University of Maryland, College Park",Reject,Robotics,Fall 2019,170,155,3,325,108,IIT Roorkee,Industrial Engineering,8.46,N/A,0 Mo
508,Iowa State University,Reject,Chemical Engineering,Fall 2018,168,148,N/A,316,N/A,IIT Roorkee,Chemical Engineering,8.38,N/A,0 Mo
509,University of Washington,Admit,Materials Science & Engineering,Fall 2017,169,161,3.5,330,119,IIT Roorkee,Mechanical Engineering,8.7,N/A,0 Mo
510,"University of Florida, Gainesville",Admit,Chemical Engineering,Fall 2019,164,151,3.5,315,7,IIT Roorkee,Chemical Engineering,8.4,0,29 Mo
511,"University of Illinois, Urbana Champaign",Reject,Industrial Engineering,Fall 2018,167,152,4,319,99,IIT Roorkee,Industrial Engineering,5.7,N/A,0 Mo
512,Ohio State University,Reject,Computer Science,Fall 2016,169,155,3.5,324,106,IIT Roorkee,Computer Science,8.19,N/A,0 Mo
513,New York University,Admit,Computer Science,Fall 2017,170,155,3,325,110,IIT Roorkee,ECE,7.5,N/A,0 Mo
514,McMaster University,Reject,Chemical and Petroleum Engineering,Fall 2019,164,151,3.5,315,7,IIT Roorkee,Chemical Engineering,8.4,0,29 Mo
515,"Texas A&M University, College Station",Admit,Computer Engineering,Fall 2020,170,164,4,334,115,IIT Roorkee,EEE,7.71,N/A,0 Mo
516,"University of California, Riverside",Reject,Computer Science,Fall 2019,167,157,3,324,101,IIT Roorkee,Computer Science,6.4,1,79 Mo
517,Arizona State University,Admit,Electrical Engineering,Fall 2016,167,160,4,327,107,IIT Roorkee,ECE,7.8,N/A,0 Mo
518,"University of California, Irvine",Reject,Computer Engineering,Fall 2020,170,164,4,334,115,IIT Roorkee,EEE,7.71,N/A,0 Mo
519,Georgia Institute of Technology,Reject,Chemical and Petroleum Engineering,Fall 2017,167,155,3,322,106,IIT Roorkee,Chemical Engineering,8.21,N/A,13 Mo
520,Ohio State University,Reject,Computer Science,Fall 2019,167,154,3.5,321,105,IIT Roorkee,ECE,8.5,N/A,0 Mo
521,"University of Minnesota, Twin Cities",Admit,Computer Science,Fall 2019,169,155,3,324,110,IIT Roorkee,ECE,7.8,N/A,0 Mo
522,North Carolina State University,Admit,Mechanical Engineering,Fall 2016,167,162,4,329,115,IIT Roorkee,Mechanical Engineering,8.89,N/A,0 Mo
523,"University of Texas, Austin",Reject,Computer Science,Fall 2020,168,160,4.5,328,100,IIT Roorkee,EEE,7.61,1,31 Mo
524,"Texas A&M University, College Station",Reject,Chemical Engineering,Fall 2018,168,148,N/A,316,N/A,IIT Roorkee,Chemical Engineering,8.38,N/A,0 Mo
525,"University of Illinois, Urbana Champaign",Reject,Computer Science,Fall 2019,170,163,3.5,333,112,IIT Roorkee,Metallurgical Engineering,8.36,N/A,0 Mo
526,University of Washington,Reject,Data Science,Fall 2018,163,157,3.5,320,105,IIT Roorkee,Mechanical Engineering,7.35,N/A,16 Mo
527,"University of Wisconsin, Madison",Reject,Computer Science,Fall 2016,170,160,4,330,115,IIT Roorkee,EEE,8.04,N/A,0 Mo
528,Carnegie Mellon University,Admit,Data Science,Fall 2019,170,156,4.5,326,116,IIT Roorkee,Computer Science,8.78,N/A,30 Mo
529,Stanford University,Reject,Computer Science,Fall 2020,168,160,4.5,328,100,IIT Roorkee,EEE,7.61,1,31 Mo
530,"University of Massachusetts, Amherst",Admit,Computer Science,Fall 2019,170,155,3,325,105,IIT Roorkee,Computer Science,7.45,N/A,0 Mo
531,"University of California, San Diego",Reject,Computer Science,Fall 2019,167,155,3.5,322,105,IIT Roorkee,ECE,8.55,N/A,0 Mo
532,"University of Massachusetts, Amherst",Reject,Computer Science,Fall 2020,163,153,4.5,316,114,IIT Roorkee,ECE,7.87,N/A,0 Mo
533,New York University,Reject,Computer Science,Fall 2017,170,162,3.5,332,110,IIT Roorkee,Mechanical Engineering,6.6,N/A,0 Mo
534,Pennsylvania State University,Reject,Computer Science,Fall 2020,170,164,4,334,115,IIT Roorkee,EEE,7.71,N/A,0 Mo
535,"University of Illinois, Urbana Champaign",Reject,Electrical & Computer Engineering,Fall 2020,168,163,4,331,118,IIT Roorkee,ECE,8.8,N/A,29 Mo
536,"University of Texas, Austin",Admit,Computer Science,Fall 2020,170,158,4,328,113,IIT Roorkee,Computer Science,9.52,N/A,18 Mo
537,"University of Massachusetts, Amherst",Admit,Computer Science,Fall 2016,170,160,4,330,115,IIT Roorkee,EEE,8.04,N/A,0 Mo
538,Columbia University,Admit,Mechanical Engineering,Fall 2016,169,158,4,327,113,IIT Roorkee,Mechanical Engineering,8,N/A,0 Mo
539,"University of Massachusetts, Amherst",Reject,Computer Science,Fall 2018,165,160,4.5,325,114,IIT Roorkee,Computer Science,6.65,2,30 Mo
540,Virginia Tech University,Reject,Mechanical Engineering,Fall 2016,167,162,4,329,115,IIT Roorkee,Mechanical Engineering,8.89,N/A,0 Mo
541,University of Pennsylvania,Reject,Information Technology,Fall 2019,170,163,3.5,333,112,IIT Roorkee,Metallurgical Engineering,8.36,N/A,0 Mo
542,"University of California, San Diego",Reject,Computer Science,Fall 2019,170,163,3.5,333,112,IIT Roorkee,Metallurgical Engineering,8.36,N/A,0 Mo
543,"State University of New York, Stony Brook",Admit,Computer Science,Fall 2018,170,155,5,325,118,IIT Roorkee,EEE,7.48,N/A,18 Mo
544,"University of California, San Diego",Reject,Computer Science,Fall 2020,170,156,5,326,111,IIT Roorkee,ECE,9.53,N/A,0 Mo
545,"University of Florida, Gainesville",Admit,Materials Science & Engineering,Fall 2017,167,153,4,320,109,IIT Roorkee,Civil Engineering,9.01,2,0 Mo
546,"University of Wisconsin, Madison",Reject,Computer Science,Fall 2019,169,151,3.5,320,112,IIT Roorkee,Civil Engineering,8.75,N/A,18 Mo
547,Princeton University,Reject,Computer Science,Fall 2020,168,160,4.5,328,100,IIT Roorkee,EEE,7.61,1,31 Mo
548,Arizona State University,Admit,Software Engineering,Fall 2017,170,157,2.5,327,109,IIT Roorkee,Mechanical Engineering,7.68,N/A,0 Mo
549,Stanford University,Admit,Computer Science,Fall 2019,170,159,4,329,111,IIT Roorkee,EEE,9.7,2,19 Mo
550,Georgia Institute of Technology,Admit,Electrical & Computer Engineering,Fall 2019,170,155,4,325,112,IIT Roorkee,ECE,8,N/A,18 Mo
551,Ohio State University,Reject,Computer Science,Fall 2019,167,157,3,324,101,IIT Roorkee,Computer Science,6.4,1,79 Mo
552,"University of Michigan, Ann Arbor",Admit,Mechanical Engineering,Fall 2016,167,162,4,329,115,IIT Roorkee,Mechanical Engineering,8.89,N/A,0 Mo
553,"University of Michigan, Dearborn",Reject,Electrical Engineering,Fall 2016,163,145,3,308,89,IIT Roorkee,ECE,5.8,N/A,0 Mo
554,University of Pennsylvania,Reject,Data Science,Fall 2020,169,154,4.5,323,110,IIT Roorkee,Chemical Engineering,7.89,N/A,19 Mo
555,Georgia Institute of Technology,Reject,Data Analytics,Fall 2020,169,154,4.5,323,110,IIT Roorkee,Chemical Engineering,7.89,N/A,19 Mo
556,"University of California, Berkeley",Reject,Computer Science,Fall 2019,170,159,4,329,111,IIT Roorkee,EEE,9.7,2,19 Mo
557,Carnegie Mellon University,Reject,Machine Learning,Fall 2018,170,150,4,320,100,IIT Roorkee,Industrial Engineering,8.47,N/A,0 Mo
558,"University of California, Irvine",Reject,Computer Science,Fall 2019,170,155,3,325,105,IIT Roorkee,Computer Science,7.45,N/A,0 Mo
559,"University of Maryland, College Park",Reject,Electrical & Computer Engineering,Fall 2014,167,151,3.5,318,94,IIT Roorkee,ECE,7.39,N/A,0 Mo
560,Cornell University,Admit,Materials Science & Engineering,Fall 2017,169,161,3.5,330,119,IIT Roorkee,Mechanical Engineering,8.7,N/A,0 Mo
561,Arizona State University,Admit,Electrical & Computer Engineering,Fall 2019,165,159,3.5,324,112,IIT Roorkee,EEE,8.2,N/A,42 Mo
562,"University of Wisconsin, Madison",Reject,Computer Science,Fall 2020,170,156,3.5,326,108,IIT Roorkee,Computer Science,9.19,N/A,19 Mo
563,Pennsylvania State University,Reject,Electrical Engineering,Fall 2020,170,164,4,334,115,IIT Roorkee,EEE,7.71,N/A,0 Mo
564,"University of California, Los Angeles",Admit,Business Analytics,Fall 2019,N/A,N/A,N/A,N/A,114,IIT Roorkee,EEE,8.18,N/A,53 Mo
565,"University of California, Los Angeles",Reject,Mechanical Engineering,Fall 2016,169,158,4,327,113,IIT Roorkee,Mechanical Engineering,8,N/A,0 Mo
566,"Purdue University, West Lafayette",Reject,Industrial Engineering,Fall 2018,167,152,4,319,99,IIT Roorkee,Industrial Engineering,5.7,N/A,0 Mo
567,Northeastern University,Admit,Data Analytics,Fall 2019,164,155,4,319,110,IIT Roorkee,Biotechnology,7.48,N/A,30 Mo
568,"Purdue University, West Lafayette",Admit,Industrial Engineering,Fall 2020,168,152,4.5,320,116,IIT Roorkee,Industrial Engineering,8.9,N/A,31 Mo
569,Georgia Institute of Technology,Reject,Data Analytics,Fall 2019,169,162,4,331,106,IIT Roorkee,Chemical Engineering,8.57,N/A,16 Mo
570,Georgia Institute of Technology,Reject,Computer Science,Fall 2016,169,155,3.5,324,106,IIT Roorkee,Computer Science,8.19,N/A,0 Mo
571,Georgia Institute of Technology,Reject,Materials Science & Engineering,Fall 2017,168,153,4,321,105,IIT Roorkee,Mechanical Engineering,8.6,1,0 Mo
572,"University of Massachusetts, Amherst",Admit,Computer Science,Fall 2020,169,158,4,327,N/A,IIT Roorkee,Computer Science,8,N/A,0 Mo
573,"University of Wisconsin, Madison",Reject,Computer Science,Fall 2019,170,156,4.5,326,116,IIT Roorkee,Computer Science,8.78,N/A,30 Mo
574,"University of Florida, Gainesville",Reject,Industrial and Systems Engineering,Fall 2018,167,152,4,319,99,IIT Roorkee,Industrial Engineering,5.7,N/A,0 Mo
575,Columbia University,Admit,Mechanical Engineering,Fall 2019,167,156,3,323,104,IIT Roorkee,Mechanical Engineering,9.18,N/A,30 Mo
576,Carnegie Mellon University,Admit,Computer Science,Fall 2020,168,163,4,331,118,IIT Roorkee,ECE,8.8,N/A,29 Mo
577,"University of California, Irvine",Reject,Electrical & Computer Engineering,Fall 2020,170,164,4,334,115,IIT Roorkee,EEE,7.71,N/A,0 Mo
578,Carnegie Mellon University,Reject,Computer Science,Fall 2020,170,158,4,328,113,IIT Roorkee,Computer Science,9.52,N/A,18 Mo
579,"University of Texas, Dallas",Admit,Computer Science,Fall 2018,165,160,4.5,325,114,IIT Roorkee,Computer Science,6.65,2,30 Mo
580,"University of Massachusetts, Amherst",Admit,Computer Science,Fall 2020,169,158,4,327,116,IIT Roorkee,EEE,8.89,N/A,0 Mo
581,Pennsylvania State University,Admit,Industrial Engineering,Fall 2019,170,162,3.5,332,112,IIT Roorkee,Metallurgical Engineering,7.3,N/A,0 Mo
582,"University of Maryland, College Park",Admit,Robotics,Fall 2019,169,155,3,324,110,IIT Roorkee,ECE,7.8,N/A,0 Mo
